Geography,Time,Value
"Akron, OH",2015.0,59.9
"Albany-Schenectady-Troy, NY",2015.0,59.96666666666666
"Albuquerque, NM",2015.0,58.9
"Allentown-Bethlehem-Easton, PA-NJ",2015.0,60.93333333333334
"Anchorage, AK",2015.0,65.05000000000001
"Asheville, NC",2014.5,67.05000000000001
"Atlanta-Sandy Springs-Roswell, GA",2015.0,60.1
"Augusta-Richmond County, GA-SC",2015.0,60.800000000000004
"Austin-Round Rock, TX",2015.0,64.66666666666667
"Bakersfield, CA",2015.0,57.23333333333333
"Baltimore-Columbia-Towson, MD",2015.0,57.76666666666667
"Baton Rouge, LA",2015.0,58.70000000000001
"Birmingham-Hoover, AL",2015.0,61.5
"Boise City, ID",2015.0,64.76666666666667
"Boston-Cambridge-Newton, MA-NH",2015.0,62.73333333333333
"Bridgeport-Stamford-Norwalk, CT",2015.0,61.166666666666664
"Buffalo-Cheektowaga-Niagara Falls, NY",2015.0,59.6
"Cape Coral-Fort Myers, FL",2015.0,63.166666666666664
"Charleston-North Charleston, SC",2015.0,63.03333333333333
"Charlotte-Concord-Gastonia, NC-SC",2015.0,62.9
"Chattanooga, TN-GA",2015.0,63.79999999999999
"Chicago-Naperville-Elgin, IL-IN-WI",2015.0,59.166666666666664
"Cincinnati, OH-KY-IN",2015.0,60.1
"Cleveland-Elyria, OH",2015.0,58.800000000000004
"Colorado Springs, CO",2015.0,63.300000000000004
"Columbia, SC",2015.0,59.300000000000004
"Columbus, OH",2015.0,60.5
"Dallas-Fort Worth-Arlington, TX",2015.0,62.73333333333333
"Dayton, OH",2015.0,59.6
"Deltona-Daytona Beach-Ormond Beach, FL",2015.0,61.199999999999996
"Denver-Aurora-Lakewood, CO",2015.0,62.96666666666666
"Des Moines-West Des Moines, IA",2015.0,65.33333333333333
"Detroit-Warren-Dearborn, MI",2015.0,58.56666666666666
"Durham-Chapel Hill, NC",2015.5,63.849999999999994
"El Paso, TX",2015.0,63.20000000000001
"Fayetteville, Springdale-Rogers, AR-MO",2015.0,65.80000000000001
"Fresno, CA",2015.0,58.46666666666667
"Grand Rapids-Wyoming, MI",2015.0,64.66666666666667
"Greenville-Anderson-Mauldin, SC",2015.0,65.03333333333335
"Harrisburg-Carlisle, PA",2015.0,61.03333333333334
"Hartford-West Hartford-East Hartford, CT",2015.0,59.63333333333333
"Houston-The Woodlands-Sugar Land, TX",2015.0,61.86666666666667
"Huntsville, AL",2016.0,63.8
"Indianapolis-Carmel-Anderson, IN",2015.0,59.93333333333334
"Jackson, MS",2015.0,57.73333333333333
"Jacksonville, FL",2015.0,60.666666666666664
"Kansas City, MO-KS",2015.0,61.53333333333333
"Knoxville, TN",2015.0,62.73333333333333
"Lakeland-Winter Haven, FL",2015.0,60.26666666666667
"Lancaster, PA",2015.0,63.849999999999994
"Las Vegas-Henderson-Paradise, NV",2015.0,58.96666666666667
"Little Rock-N Little Rock-Conway, AR",2015.0,60.166666666666664
"Los Angeles-Long Beach-Anaheim, CA",2015.0,61.03333333333333
"Louisville-Jefferson County, KY-IN",2015.0,61.699999999999996
"Madison, WI",2015.0,64.53333333333333
"Memphis, TN-MS-AR",2015.0,57.06666666666666
"Miami-Fort Lauderdale-West Palm Beach, FL",2015.0,61.76666666666667
"Milwaukee-Waukesha-West Allis, WI",2015.0,60.03333333333334
"Minneapolis-St. Paul-Bloomington, MN-WI",2015.0,64.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",2016.0,64.4
"Nashville-Davidson-Murfreesboro-Franklin, TN",2015.0,63.666666666666664
"New Haven-Milford, CT",2015.0,58.6
"New Orleans-Metairie, LA",2015.0,59.633333333333326
"New York-Newark-Jersey City, NY-NJ-PA",2015.0,59.56666666666666
"North Port-Sarasota-Bradenton, FL",2015.0,65.33333333333333
"Ogden-Clearfield, UT",2015.0,64.06666666666666
"Oklahoma City, OK",2015.0,61.366666666666674
"Omaha-Council Bluffs, NE-IA",2015.0,63.300000000000004
"Orlando-Kissimmee-Sanford, FL",2015.0,61.333333333333336
"Oxnard-Thousand Oaks-Ventura, CA",2015.0,64.89999999999999
"Palm Bay-Melbourne-Titusville, FL",2015.0,61.6
"Pensacola-Ferry Pass-Brent, FL",2015.0,61.23333333333333
