City,Mean Commute Time 2016,Mean Commute Time 2015,Mean Commute Time 2014,Mean Commute Time 2013,Mean Commute Time 2012,Mean Commute Time 2011,Mean Commute Time 2010
"Birmingham, AL",21.4,21.4,21.6,21.7,21.8,21.7,22.0
"Montgomery, AL",20.0,19.3,19.5,19.3,19.5,19.5,19.7
"Anchorage, AK",19.1,19.5,19.4,19.4,19.0,18.6,18.2
"Juneau, AK",15.6,15.1,14.8,15.1,15.5,15.2,15.3
"Phoenix, AZ",25.1,24.8,24.5,24.4,24.4,24.7,24.8
"Tucson, AZ",22.2,22.4,22.1,21.7,21.7,21.6,21.5
"Little Rock, AR",18.9,18.7,18.2,18.1,17.9,17.8,17.7
"Fort Smith, AR",15.7,15.3,15.0,15.0,14.8,14.7,14.5
"San Diego, CA",25.3,25.0,24.6,24.4,24.2,24.4,24.6
"Los Angeles, CA",30.4,30.0,29.6,29.3,29.1,29.1,29.0
"Sacramento, CA",26.5,26.2,25.9,25.7,25.7,25.8,25.8
"Denver, CO",25.1,24.8,24.5,24.6,24.8,24.6,24.6
"Colorado Springs, CO",21.4,21.2,20.9,20.8,20.9,20.7,20.8
"Aurora, CO",16.7,17.7,17.9,18.0,19.1,19.0,18.3
"Bridgeport, CT",27.6,27.2,27.0,26.6,26.3,26.8,26.4
"Hartford, CT",23.0,22.7,22.4,22.1,22.1,22.0,21.9
"Dover, DE",21.4,21.7,20.7,20.4,20.9,21.2,20.3
"Wilmington, DE",21.8,21.5,21.3,20.7,21.0,20.9,20.5
"Jacksonville, FL",24.2,23.9,23.5,23.7,23.5,23.5,23.4
"Miami, FL",30.6,29.9,29.4,29.0,29.1,29.2,29.5
"Tallahassee, FL",18.3,18.3,18.1,17.8,17.8,17.7,17.8
"Atlanta, GA",25.8,25.5,25.4,25.1,25.5,25.4,25.8
"Savannah, GA",19.5,19.7,19.7,19.4,19.1,19.2,19.3
"Honolulu, HI",28.7,28.2,27.6,27.2,27.0,27.1,27.0
"Kauai, HI",22.6,22.4,22.0,21.4,20.5,20.0,19.9
"Maui, HI",21.0,21.3,21.1,20.8,20.8,21.0,20.8
"Boise, ID",39.0,37.9,36.4,31.5,33.7,34.0,36.5
"Meridian, ID",22.4,22.7,22.6,22.1,22.5,21.8,21.8
"Chicago, IL",34.4,34.1,33.7,33.3,33.5,33.7,33.6
"Springfield, IL",17.3,17.1,17.3,16.7,16.9,16.8,16.9
"Fort Wayne, IN",20.5,20.2,20.0,19.7,19.7,19.6,19.6
"Indianapolis, IN",23.0,22.8,22.7,22.6,22.6,22.5,22.2
"Cedar Rapids, IA",17.9,17.6,17.6,17.4,17.3,16.7,16.6
"Des Moines, IA",16.2,16.1,15.8,15.9,16.7,16.4,16.0
"Topeka, KS",16.7,16.4,16.5,16.6,16.6,17.0,17.3
"Wichita, KS",12.2,13.7,12.3,12.7,12.2,13.8,14.0
"Frankfort, KY",16.4,16.0,15.0,15.2,15.4,15.6,16.1
